Project Name,Datasource Name,Database Name,Table Schema,Table Name,Database Connection Type,USER_NAME,AUTHENTICATION_METHOD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_FEES_AND_SAVINGS_FOR_ROI,snowflake,SCRIPTAETL,PASSWORD
QBR Datasources,QBR - Customer Fee Data,TRANSFORMED_LAYER,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,snowflake,SCRIPTAETL,PASSWORD
