Datasource Name,Datasource ID,Table Schema,Table Name,Database Name,Database Connection Type
QBR - Login and Registration Data,2a3c280c-b461-40e4-1c6d-c8751a2a17d3,VISUALIZATION,VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA,TRANSFORMED_LAYER,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,2a50311f-7584-5140-a540-c2930ffa7a62,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,2a50311f-7584-5140-a540-c2930ffa7a62,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,TRANSFORMED_LAYER,snowflake
New Utilizers Drill Down Report Datasource,2b1410f8-17f4-1b83-2575-e414ca3f8429,DRILL_DOWN_REPORTS,VW_NEW_UTILIZERS_DRILL_DOWN,TRANSFORMED_LAYER,snowflake
CUSTOMER_ROI_PERIOD_DATA - Test,2b5a0555-5b59-4b6a-d461-deee31122655,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,TRANSFORMED_LAYER_TEST,snowflake
CUSTOMER_ROI_PERIOD_DATA - Test,2b5a0555-5b59-4b6a-d461-deee31122655,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Communication Metadata Data Set - Test,2c9b53a4-4bc5-8493-89d0-bfcb1b8c0512,VISUALIZATION,VW_MEMBER_COMMUNICATION_OPTIONS,TRANSFORMED_LAYER_TEST,snowflake
QBR - Member Communication Metadata Data Set - Test,2c9b53a4-4bc5-8493-89d0-bfcb1b8c0512,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER_TEST,snowflake
QBR - Customer Lives Datasource,2cd882be-e87a-e1e7-6fd7-72a897a3c0d2,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,2cd882be-e87a-e1e7-6fd7-72a897a3c0d2,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER,snowflake
VW_DRILL_DOWN_REPORT_BASE (TRANSFORMED_LAYER.VW_DRILL_DOWN_REPORT_BASE) (DRILL_DOWN_REPORTS) (2),2e79a756-792f-760b-2481-9bd8681001a1,DRILL_DOWN_REPORTS,VW_DRILL_DOWN_REPORT_BASE,TRANSFORMED_LAYER,snowflake
QBR - Member Utilization Breakdown,30c6405f-a6e3-09bd-21a7-ff396f400dd2,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Member Utilization Breakdown,30c6405f-a6e3-09bd-21a7-ff396f400dd2,VISUALIZATION,VW_UTILIZATION_BREAKDOWN_QBR,TRANSFORMED_LAYER,snowflake
Amazon QBR - Number Of Members By Number Of Opportunities Dataset,30d54314-15bd-81e3-92b6-11a510c556f6,AMAZON,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
Custom SQL Query (PUBLIC),30ed9d59-f127-c653-e49a-8da727d91bb1,mastermgmt,dict_ignore_reason,RAW_LAYER,snowflake
Custom SQL Query (PUBLIC),30ed9d59-f127-c653-e49a-8da727d91bb1,public,saverx_switches,RAW_LAYER,snowflake
Custom SQL Query (PUBLIC),30ed9d59-f127-c653-e49a-8da727d91bb1,mastermgmt,dict_strategy,RAW_LAYER,snowflake
Custom SQL Query (PUBLIC),30ed9d59-f127-c653-e49a-8da727d91bb1,public,saverx_totallives,RAW_LAYER,snowflake
Custom SQL Query (PUBLIC),30ed9d59-f127-c653-e49a-8da727d91bb1,public,saverx_switch_changelog,RAW_LAYER,snowflake
